标题,价格(元/月),区域,户型,面积(㎡),朝向,详情链接
整租·南湖御景 3室1厅 南,1800,青秀区-星湖-南湖御景,3室1厅1卫,90.00,南,https://nn.zu.ke.com/zufang/NN1963104131287613440.html
整租·向南居·金溪园 1室1厅 东北,1300,青秀区-凤岭北-向南居 - 金溪园,1室1厅1卫,36.94,东北,https://nn.zu.ke.com/zufang/NN1964270920629485568.html
整租·盛世龙腾 2室2厅 南,1600,西乡塘区-心圩区-盛世龙腾,2室2厅1卫,102.00,南,https://nn.zu.ke.com/zufang/NN1963976594984796160.html
整租·保利领秀前城秀程府 4室2厅 东南,3500,青秀区-凤岭南-保利领秀前城秀程府,4室2厅2卫,128.00,东南,https://nn.zu.ke.com/zufang/NN1964285511459667968.html
整租·龙域香醍半岛 4室2厅 南/北,1900,邕宁区-龙岗-龙域香醍半岛,4室2厅2卫,128.00,N/A,https://nn.zu.ke.com/zufang/NN1963138269231185920.html
整租·前海人寿金融中心 6室1厅 东北,23077,良庆区-五象核心区-前海人寿金融中心,6室1厅0卫,607.29,东北,https://nn.zu.ke.com/zufang/NN1963166942185390080.html
整租·中房·翡翠湾 2室2厅 南,2500,青秀区-东盟商务区-中房 - 翡翠湾,2室2厅1卫,89.93,南,https://nn.zu.ke.com/zufang/NN1963909531297644544.html
整租·恒大苹果园·金色阳光 4室1厅 东南,3500,青秀区-琅东-恒大苹果园 - 金色阳光,4室1厅2卫,185.00,东南,https://nn.zu.ke.com/zufang/NN1963830996230995968.html
整租·中房·翡翠湾 1室2厅 南,2500,青秀区-东盟商务区-中房 - 翡翠湾,1室2厅0卫,86.86,南,https://nn.zu.ke.com/zufang/NN1963910613952364544.html
整租·梦之岛花园 3室2厅 南/北,2500,青秀区-琅东-梦之岛花园,3室2厅2卫,120.00,N/A,https://nn.zu.ke.com/zufang/NN1964326185970171904.html
整租·檀府印象檀熙 4室2厅 南/北,2500,良庆区-五象湖-檀府印象檀熙,4室2厅2卫,118.00,N/A,https://nn.zu.ke.com/zufang/NN1964932974906441728.html
整租·世洋大厦 2室2厅 北,6800,青秀区-东盟商务区-世洋大厦,2室2厅0卫,315.42,北,https://nn.zu.ke.com/zufang/NN1965380039549648896.html
整租·摩卡生活馆 1室1厅 东,1500,青秀区-星湖-摩卡生活馆,1室1厅1卫,40.00,东,https://nn.zu.ke.com/zufang/NN1965270473923100672.html
整租·凯丰大厦 1室0厅 北,1000,青秀区-东葛路-凯丰大厦,1室0厅1卫,46.00,北,https://nn.zu.ke.com/zufang/NN1965407206266372096.html
整租·利海亚洲国际 1室1厅 东南/南,1500,青秀区-东盟商务区-利海亚洲国际,1室1厅1卫,38.00,N/A,https://nn.zu.ke.com/zufang/NN1962099162023460864.html
整租·金之岛城市广场住宅 1室1厅 南,800,兴宁区-朝阳-金之岛城市广场住宅,1室1厅1卫,42.00,南,https://nn.zu.ke.com/zufang/NN1962368867464380416.html
整租·金旺角 1室0厅 南,700,青秀区-金湖-金旺角,1室0厅1卫,21.00,南,https://nn.zu.ke.com/zufang/NN1962830344021344256.html
整租·彰泰城B区 1室0厅 南,1400,良庆区-五象核心区-彰泰城B区,1室0厅1卫,39.36,南,https://nn.zu.ke.com/zufang/NN1962720930094383104.html
整租·大唐盛世 6室2厅 南,5100,邕宁区-龙岗-大唐盛世,6室2厅2卫,287.00,南,https://nn.zu.ke.com/zufang/NN1963103361645412352.html
整租·向南居·金溪园 1室1厅 东北,1300,青秀区-凤岭北-向南居 - 金溪园,1室1厅1卫,36.94,东北,https://nn.zu.ke.com/zufang/NN1964270920629485568.html
整租·保利领秀前城秀程府 4室2厅 东南,3500,青秀区-凤岭南-保利领秀前城秀程府,4室2厅2卫,128.00,东南,https://nn.zu.ke.com/zufang/NN1964285511459667968.html
整租·龙域香醍半岛 4室2厅 南/北,1900,邕宁区-龙岗-龙域香醍半岛,4室2厅2卫,128.00,N/A,https://nn.zu.ke.com/zufang/NN1963138269231185920.html
整租·前海人寿金融中心 10室2厅 东南,96884,良庆区-五象核心区-前海人寿金融中心,10室2厅1卫,2603.75,东南,https://nn.zu.ke.com/zufang/NN1963163977470967808.html
整租·中房·翡翠湾 1室2厅 南,2500,青秀区-东盟商务区-中房 - 翡翠湾,1室2厅0卫,86.86,南,https://nn.zu.ke.com/zufang/NN1963910613952364544.html
整租·檀府印象檀熙 4室2厅 南/北,2500,良庆区-五象湖-檀府印象檀熙,4室2厅2卫,118.00,N/A,https://nn.zu.ke.com/zufang/NN1964932974906441728.html
整租·世洋大厦 2室2厅 北,6800,青秀区-东盟商务区-世洋大厦,2室2厅0卫,315.42,北,https://nn.zu.ke.com/zufang/NN1965380039549648896.html
整租·凯丰大厦 1室0厅 北,1000,青秀区-东葛路-凯丰大厦,1室0厅1卫,46.00,北,https://nn.zu.ke.com/zufang/NN1965407206266372096.html
整租·绿城画卷 1室0厅 东南,1800,青秀区-金湖-绿城画卷,1室0厅1卫,45.00,东南,https://nn.zu.ke.com/zufang/NN1965763261781508096.html
整租·悦桂绿地新世界 3室2厅 南,500,江南区-经开区-悦桂绿地新世界,3室2厅2卫,97.05,南,https://nn.zu.ke.com/zufang/NN1965720746743300096.html
整租·金玖世家北区 4室2厅 南/北,2200,良庆区-玉洞-金玖世家北区,4室2厅2卫,117.00,N/A,https://nn.zu.ke.com/zufang/NN1965629910940647424.html
整租·阳光100 2室1厅 南,2300,青秀区-东葛路-阳光100,2室1厅1卫,100.00,南,https://nn.zu.ke.com/zufang/NN1966070774942924800.html
整租·金和大厦 2室1厅 东南,6750,青秀区-星湖-金和大厦,2室1厅0卫,135.00,东南,https://nn.zu.ke.com/zufang/NN1966090130951241728.html
整租·旺南花园小区 4室2厅 南,3000,青秀区-青秀万达-旺南花园小区,4室2厅2卫,136.00,南,https://nn.zu.ke.com/zufang/NN1966014094498594816.html
整租·金和大厦 1室0厅 南,4908,青秀区-星湖-金和大厦,1室0厅0卫,89.24,南,https://nn.zu.ke.com/zufang/NN1965993102942404608.html
整租·荣和悦澜山 4室1厅 南/北,2600,青秀区-凤岭北-荣和悦澜山,4室1厅2卫,109.00,N/A,https://nn.zu.ke.com/zufang/NN1966516133209047040.html
整租·阳光100上东国际 1室0厅 东,1500,青秀区-琅东-阳光100上东国际,1室0厅1卫,55.00,东,https://nn.zu.ke.com/zufang/NN1966469884510470144.html
整租·山水花都秀竹花园 3室3厅 西南,2700,青秀区-金湖-山水花都秀竹花园,3室3厅2卫,153.00,西南,https://nn.zu.ke.com/zufang/NN1967523088463560704.html
整租·银海华廷 3室2厅 南,1500,良庆区-玉洞-银海华廷,3室2厅1卫,100.00,南,https://nn.zu.ke.com/zufang/NN1974699516384772096.html
整租·东方花园 3室2厅 东南,2400,青秀区-金湖-东方花园,3室2厅1卫,110.00,东南,https://nn.zu.ke.com/zufang/NN1974709581284114432.html
整租·龙光世纪中心 1室1厅 南,6800,青秀区-东盟商务区-龙光世纪中心,1室1厅0卫,73.00,南,https://nn.zu.ke.com/zufang/NN1974692796212183040.html
整租·枫林蓝岸 5室2厅 复式 南,16000,青秀区-凤岭北-枫林蓝岸,5室2厅2卫,236.00,南,https://nn.zu.ke.com/zufang/NN1974789386868359168.html
整租·福满瑞园 4室2厅 复式 南,3500,江南区-经开区-福满瑞园,4室2厅2卫,249.91,南,https://nn.zu.ke.com/zufang/NN1974783046397722624.html
整租·台湾街宜兰湾 1室1厅 东南,1500,西乡塘区-西大-台湾街宜兰湾,1室1厅1卫,70.00,东南,https://nn.zu.ke.com/zufang/NN1975030964606205952.html
整租·启迪亮 4室2厅 南/北,2000,邕宁区-龙岗-启迪亮,4室2厅2卫,136.00,N/A,https://nn.zu.ke.com/zufang/NN1975452912683319296.html
整租·金玖世家北区 4室2厅 北,2300,良庆区-玉洞-金玖世家北区,4室2厅2卫,115.00,北,https://nn.zu.ke.com/zufang/NN1975502725646909440.html
整租·绿城春江明月 4室2厅 东南,3800,良庆区-五象核心区-绿城春江明月,4室2厅2卫,145.00,东南,https://nn.zu.ke.com/zufang/NN1976216526964916224.html
整租·圣展独立公社 1室1厅 西/西北,17100,青秀区-金湖-圣展独立公社,1室1厅1卫,285.00,N/A,https://nn.zu.ke.com/zufang/NN1976201126457901056.html
整租·荣和山水绿城B1组团 2室2厅 南,1400,兴宁区-北湖南-荣和山水绿城B1组团,2室2厅1卫,65.00,南,https://nn.zu.ke.com/zufang/NN1976193814636789760.html
整租·幸福里 4室2厅 南,28000,青秀区-东盟商务区-幸福里,4室2厅4卫,328.00,南,https://nn.zu.ke.com/zufang/NN1975906478216708096.html
整租·中鼎万象东方 1室1厅 北,2000,青秀区-凤岭北-中鼎万象东方,1室1厅1卫,46.00,北,https://nn.zu.ke.com/zufang/NN1976552271915253760.html
整租·万科公园里 4室2厅 东/南,2300,良庆区-五象文旅-万科公园里,4室2厅2卫,125.00,N/A,https://nn.zu.ke.com/zufang/NN1976619271140147200.html
整租·广源大都会 3室2厅 南/北,3000,良庆区-五象核心区-广源大都会,3室2厅2卫,108.00,N/A,https://nn.zu.ke.com/zufang/NN1976947970121138176.html
整租·盛湖悦景 4室2厅 南/北,2000,邕宁区-龙岗-盛湖悦景,4室2厅2卫,128.00,N/A,https://nn.zu.ke.com/zufang/NN1976904327951810560.html
整租·万科金域中央一期 5室2厅 南,4000,良庆区-玉洞-万科金域中央一期,5室2厅2卫,144.00,南,https://nn.zu.ke.com/zufang/NN1976950306398797824.html
整租·彰泰城B区 1室1厅 南,1500,良庆区-五象核心区-彰泰城B区,1室1厅1卫,39.00,南,https://nn.zu.ke.com/zufang/NN1976953626697924608.html
整租·南湖聚宝苑 5室2厅 东南,13600,青秀区-金湖-南湖聚宝苑,5室2厅2卫,270.00,东南,https://nn.zu.ke.com/zufang/NN1977361081516949504.html
整租·东葛路18-1汇宇花园 5室2厅 东南,3200,青秀区-东葛路-东葛路18-1汇宇花园,5室2厅2卫,120.00,东南,https://nn.zu.ke.com/zufang/NN1977298878340268032.html
整租·伟业小区 3室2厅 南,2000,青秀区-东葛路-伟业小区,3室2厅2卫,120.00,南,https://nn.zu.ke.com/zufang/NN1977214688982728704.html
整租·凤岭·新新家园A区 4室2厅 南,2700,青秀区-凤岭北-凤岭 - 新新家园A区,4室2厅2卫,119.00,南,https://nn.zu.ke.com/zufang/NN1977686148851433472.html
整租·中房翡翠园一期 3室2厅 北,2300,青秀区-琅东-中房翡翠园一期,3室2厅2卫,145.00,北,https://nn.zu.ke.com/zufang/NN2038190786884927488.html
整租·龙光玖誉城悦城 1室1厅 北,2000,江南区-经开区-龙光玖誉城悦城,1室1厅1卫,28.00,北,https://nn.zu.ke.com/zufang/NN1964363903219531776.html
整租·耀凯凤岭1号 1室1厅 东南,15000,青秀区-东盟商务区-耀凯凤岭1号,1室1厅1卫,67.00,东南,https://nn.zu.ke.com/zufang/NN2038148638416306176.html
整租·宏桂东昇 2室2厅 东南,1500,青秀区-仙葫-宏桂东昇,2室2厅1卫,85.00,东南,https://nn.zu.ke.com/zufang/NN1965008414266359808.html
整租·平安家园 3室2厅 南/北,2300,青秀区-凤岭北-平安家园,3室2厅2卫,110.00,N/A,https://nn.zu.ke.com/zufang/NN1976179500441927680.html
整租·盛邦珑湖 1室0厅 南,2800,良庆区-玉洞-盛邦珑湖,1室0厅0卫,75.00,南,https://nn.zu.ke.com/zufang/NN2039656244855177216.html
整租·宏桂东昇 2室2厅 南,1500,青秀区-仙葫-宏桂东昇,2室2厅1卫,89.00,南,https://nn.zu.ke.com/zufang/NN1976942195365642240.html
整租·金河中心 4室2厅 南,2350,兴宁区-东沟岭-金河中心,4室2厅3卫,100.00,南,https://nn.zu.ke.com/zufang/NN2040070824798453760.html
整租·大唐盛世 3室2厅 北,1200,邕宁区-龙岗-大唐盛世,3室2厅1卫,93.00,北,https://nn.zu.ke.com/zufang/NN1977204388002791424.html
整租·幸福里 5室3厅 南,25000,青秀区-东盟商务区-幸福里,5室3厅2卫,387.00,南,https://nn.zu.ke.com/zufang/NN2039729893347950592.html
整租·凤岭山语城 1室1厅 西北,12000,青秀区-凤岭北-凤岭山语城,地下室,180.00,西北,https://nn.zu.ke.com/zufang/NN2041013927566901248.html
整租·五象世茂中心 1室1厅 南,1100,良庆区-五象核心区-五象世茂中心,1室1厅1卫,40.00,南,https://nn.zu.ke.com/zufang/NN1977665221585534976.html
整租·阳光100上东国际 3室2厅 西,2000,青秀区-琅东-阳光100上东国际,3室2厅1卫,87.66,西,https://nn.zu.ke.com/zufang/NN2041030343506526208.html
整租·利海亚洲国际B区 4室2厅 东,7200,青秀区-东盟商务区-利海亚洲国际B区,4室2厅0卫,60.00,东,https://nn.zu.ke.com/zufang/NN1977976535532961792.html
整租·瀚林学府二期 2室2厅 南,8000,西乡塘区-西大-瀚林学府二期,2室2厅1卫,110.00,南,https://nn.zu.ke.com/zufang/NN2041039608040390656.html
整租·汇春名庭东区 4室2厅 东南,4000,青秀区-金湖-汇春名庭东区,4室2厅2卫,215.00,东南,https://nn.zu.ke.com/zufang/NN1977214702031208448.html
整租·古城馨园 2室1厅 南,2500,青秀区-星湖-古城馨园,2室1厅1卫,80.00,南,https://nn.zu.ke.com/zufang/NN1977672786461589504.html
整租·万科魅力之城 4室1厅 南,2200,良庆区-五象湖-万科魅力之城,4室1厅2卫,92.00,南,https://nn.zu.ke.com/zufang/NN1978032117807841280.html
整租·中房翡翠园一期 2室2厅 南/北,2000,青秀区-琅东-中房翡翠园一期,2室2厅1卫,88.00,N/A,https://nn.zu.ke.com/zufang/NN2001968186370555904.html
整租·湖江公寓 5室2厅 南/北,3500,青秀区-星湖-湖江公寓,5室2厅2卫,192.00,N/A,https://nn.zu.ke.com/zufang/NN2001948399187787776.html
整租·印象·愉景湾 4室2厅 东南,1500,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,109.19,东南,https://nn.zu.ke.com/zufang/NN2001951772133818368.html
整租·龙光国际 3室1厅 西北,9800,良庆区-五象核心区-龙光国际,3室1厅0卫,180.00,西北,https://nn.zu.ke.com/zufang/NN2002342117568937984.html
整租·龙光国际 3室1厅 西北,9800,良庆区-五象核心区-龙光国际,3室1厅0卫,180.00,西北,https://nn.zu.ke.com/zufang/NN2002332995486220288.html
整租·外滩新城 3室1厅 南,2500,青秀区-星湖-外滩新城,3室1厅1卫,123.00,南,https://nn.zu.ke.com/zufang/NN2002334199188553728.html
整租·东葛华都 1室1厅 南,1200,青秀区-东葛路-东葛华都,1室1厅1卫,50.00,南,https://nn.zu.ke.com/zufang/NN2002314874868203520.html
整租·白鹭北城白鹭郡 4室2厅 南/北,1800,兴宁区-兴宁东-白鹭北城白鹭郡,4室2厅2卫,115.00,N/A,https://nn.zu.ke.com/zufang/NN2002219686107807744.html
整租·凯丰大厦 1室1厅 南,2000,青秀区-东葛路-凯丰大厦,1室1厅1卫,100.00,南,https://nn.zu.ke.com/zufang/NN2001527088166731776.html
整租·檀府印象檀熙 4室2厅 南/北,1500,良庆区-五象湖-檀府印象檀熙,4室2厅2卫,128.00,N/A,https://nn.zu.ke.com/zufang/NN2001588911096201216.html
整租·威宁青运村 5室2厅 北,4000,良庆区-五象核心区-威宁青运村,5室2厅2卫,143.00,北,https://nn.zu.ke.com/zufang/NN2001602218049929216.html
整租·龙光世纪中心 1室1厅 南,4300,青秀区-东盟商务区-龙光世纪中心,1室1厅0卫,65.00,南,https://nn.zu.ke.com/zufang/NN2001607795647971328.html
整租·嘉和城温莎北郡 3室2厅 南,1000,兴宁区-兴宁东-嘉和城温莎北郡,3室2厅2卫,83.00,南,https://nn.zu.ke.com/zufang/NN2001884841993306112.html
整租·中海哈罗学府 3室2厅 南,2300,邕宁区-龙岗-中海哈罗学府,3室2厅2卫,97.00,南,https://nn.zu.ke.com/zufang/NN2001649806988017664.html
整租·锦绣花园 1室1厅 南,1500,青秀区-星湖-锦绣花园,1室1厅1卫,39.00,南,https://nn.zu.ke.com/zufang/NN2001610526924210176.html
整租·龙光天瀛 3室2厅 南/北,3500,良庆区-五象湖-龙光天瀛,3室2厅2卫,97.00,N/A,https://nn.zu.ke.com/zufang/NN2001656171835949056.html
整租·万达广场 1室1厅 南,3500,江南区-白沙星光-万达广场,1室1厅2卫,62.00,南,https://nn.zu.ke.com/zufang/NN2001937935934423040.html
整租·阳光城时代中心 1室1厅 东,2600,良庆区-五象核心区-阳光城时代中心,1室1厅1卫,36.50,东,https://nn.zu.ke.com/zufang/NN2003745155378577408.html
整租·云星钱隆首府B组团 1室1厅 南,1800,良庆区-五象核心区-云星钱隆首府B组团,1室1厅1卫,49.00,南,https://nn.zu.ke.com/zufang/NN1983462402405957632.html
整租·广源国际社区 4室2厅 东南,4500,青秀区-东盟商务区-广源国际社区,4室2厅2卫,172.00,东南,https://nn.zu.ke.com/zufang/NN1983416759897554944.html
整租·翠竹小区 4室2厅 南/北,2500,青秀区-凤岭北-翠竹小区,4室2厅2卫,150.00,N/A,https://nn.zu.ke.com/zufang/NN1983872073709125632.html
整租·荣和大地二组团 4室2厅 东南,3800,青秀区-凤岭北-荣和大地二组团,4室2厅2卫,116.00,东南,https://nn.zu.ke.com/zufang/NN1983844145822695424.html
整租·江景华廷 3室1厅 东南,1500,青秀区-仙葫-江景华廷,3室1厅1卫,99.23,东南,https://nn.zu.ke.com/zufang/NN1983820218459226112.html
整租·青年国际 2室1厅 复式 东南,1000,青秀区-东葛路-青年国际,2室1厅1卫,32.00,东南,https://nn.zu.ke.com/zufang/NN1983844217037783040.html
整租·盛科城 3室1厅 南/北,2900,良庆区-五象核心区-盛科城,3室1厅2卫,98.00,N/A,https://nn.zu.ke.com/zufang/NN1983913524874706944.html
整租·万科金域蓝湾 4室2厅 西南,1900,良庆区-五象湖-万科金域蓝湾,4室2厅2卫,108.00,西南,https://nn.zu.ke.com/zufang/NN1983911418797228032.html
整租·盛湖悦景 4室2厅 东南/西南,1300,邕宁区-龙岗-盛湖悦景,4室2厅2卫,111.00,N/A,https://nn.zu.ke.com/zufang/NN1983880300505071616.html
整租·五象澜庭府沁苑 4室2厅 南,2500,良庆区-五象湖-五象澜庭府沁苑,4室2厅2卫,112.00,南,https://nn.zu.ke.com/zufang/NN1986003892957085696.html
整租·安吉万达华府 4室1厅 南/北,2500,西乡塘区-安吉-安吉万达华府,4室1厅1卫,100.00,N/A,https://nn.zu.ke.com/zufang/NN1986092293920129024.html
整租·大唐臻观 4室2厅 东南/南,10000,青秀区-琅东-大唐臻观,4室2厅2卫,170.00,N/A,https://nn.zu.ke.com/zufang/NN1986018393098027008.html
整租·恒大名都 3室2厅 南/北,1900,良庆区-大沙田-恒大名都,3室2厅2卫,122.00,N/A,https://nn.zu.ke.com/zufang/NN1985971402494181376.html
整租·东盟华府 4室2厅 东南,2100,江南区-沙井-东盟华府,4室2厅2卫,110.00,东南,https://nn.zu.ke.com/zufang/NN1985920110400897024.html
整租·永凯春晖花园西C区 4室2厅 南,3200,青秀区-凤岭北-永凯春晖花园西C区,4室2厅2卫,143.00,南,https://nn.zu.ke.com/zufang/NN1985920073147088896.html
整租·龙域香醍半岛 3室2厅 南/北,1500,邕宁区-龙岗-龙域香醍半岛,3室2厅2卫,100.00,N/A,https://nn.zu.ke.com/zufang/NN1985964642312126464.html
整租·金湖帝景 2室1厅 南,2300,青秀区-金湖-金湖帝景,2室1厅1卫,65.00,南,https://nn.zu.ke.com/zufang/NN1986311149401931776.html
整租·逸景園 3室2厅 东南/南,3600,青秀区-金湖-逸景園,3室2厅2卫,120.00,N/A,https://nn.zu.ke.com/zufang/NN1986307134681251840.html
整租·西江大厦 3室2厅 南,4100,青秀区-金湖-西江大厦,3室2厅2卫,168.00,南,https://nn.zu.ke.com/zufang/NN1636293136638541824.html
整租·中房翡翠园一期 3室2厅 东南,2800,青秀区-琅东-中房翡翠园一期,3室2厅2卫,142.19,东南,https://nn.zu.ke.com/zufang/NN1639251229496311808.html
整租·广西民族宫 1室0厅 东/东南,3000,青秀区-东葛路-广西民族宫,1室0厅0卫,80.00,N/A,https://nn.zu.ke.com/zufang/NN1635248473349554176.html
整租·龙光玖珑臺 4室2厅 东南,1800,邕宁区-龙岗-龙光玖珑臺,4室2厅2卫,120.00,东南,https://nn.zu.ke.com/zufang/NN1607710530078769152.html
整租·五洲国际 3室2厅 复式 东南,3600,青秀区-东盟商务区-五洲国际,3室2厅2卫,93.00,东南,https://nn.zu.ke.com/zufang/NN1595344638875533312.html
整租·自治区人事厅宿舍 3室2厅 南,2000,青秀区-东葛路-自治区人事厅宿舍,3室2厅1卫,90.00,南,https://nn.zu.ke.com/zufang/NN1585553774879965184.html
整租·华兴大厦 4室2厅 东南,3000,青秀区-东葛路-华兴大厦,4室2厅2卫,180.00,东南,https://nn.zu.ke.com/zufang/NN1619298603816189952.html
整租·盛湖悦景 4室2厅 南/北,1500,邕宁区-龙岗-盛湖悦景,4室2厅2卫,111.00,N/A,https://nn.zu.ke.com/zufang/NN1625358558818205696.html
整租·檀府印象檀熙 3室2厅 南,1500,良庆区-五象湖-檀府印象檀熙,3室2厅2卫,98.00,南,https://nn.zu.ke.com/zufang/NN1635230171214643200.html
整租·东方曼哈顿 1室1厅 西,4500,青秀区-金湖-东方曼哈顿,1室1厅0卫,90.00,西,https://nn.zu.ke.com/zufang/NN1637416753698963456.html
整租·绿地中央广场 1室0厅 东南,2000,青秀区-青秀万达-绿地中央广场,1室0厅1卫,38.80,东南,https://nn.zu.ke.com/zufang/NN1638504187195031552.html
整租·绿地中央广场 1室0厅 东南,2300,青秀区-青秀万达-绿地中央广场,1室0厅1卫,38.86,东南,https://nn.zu.ke.com/zufang/NN1638504657783357440.html
整租·塞纳维拉花园 4室2厅 南/北,3000,青秀区-凤岭北-塞纳维拉花园,4室2厅2卫,175.00,N/A,https://nn.zu.ke.com/zufang/NN2861427298706931712.html
整租·丰业·柠檬宿 1室0厅 北,950,西乡塘区-北湖南-丰业 - 柠檬宿,1室0厅1卫,46.41,北,https://nn.zu.ke.com/zufang/NN2864349007990226944.html
整租·龙光玖誉湖御湖 4室2厅 南/北,2000,良庆区-五象文旅-龙光玖誉湖御湖,4室2厅2卫,116.00,N/A,https://nn.zu.ke.com/zufang/NN2858696402698248192.html
整租·恒大御景 4室2厅 南/北,1800,良庆区-玉洞-恒大御景,4室2厅2卫,124.20,N/A,https://nn.zu.ke.com/zufang/NN2850601839173844992.html
整租·东葛华都 1室1厅 东南,2000,青秀区-东葛路-东葛华都,1室1厅1卫,80.00,东南,https://nn.zu.ke.com/zufang/NN2871076649141534720.html
整租·新竹小区 4室1厅 南,2200,青秀区-东葛路-新竹小区,4室1厅1卫,90.00,南,https://nn.zu.ke.com/zufang/NN2899357907051085824.html
整租·万科魅力之城 3室2厅 东南,1300,良庆区-五象湖-万科魅力之城,3室2厅1卫,78.00,东南,https://nn.zu.ke.com/zufang/NN2898584424234876928.html
整租·富宁新兴苑 4室2厅 南/北,2000,江南区-五一路-富宁新兴苑,4室2厅2卫,121.00,N/A,https://nn.zu.ke.com/zufang/NN2823947640998199296.html
整租·天立TT国际 1室1厅 南,1200,青秀区-金湖-天立TT国际,1室1厅1卫,55.00,南,https://nn.zu.ke.com/zufang/NN2760899275293458432.html
整租·龙光玖誉湖澜湖 3室2厅 南,2000,良庆区-五象文旅-龙光玖誉湖澜湖,3室2厅2卫,89.00,南,https://nn.zu.ke.com/zufang/NN2776075787449933824.html
整租·龙光玖珑臺 4室2厅 南,1800,邕宁区-龙岗-龙光玖珑臺,4室2厅2卫,115.00,南,https://nn.zu.ke.com/zufang/NN2839687231705456640.html
整租·联盟新城 4室2厅 复式 东南,6200,青秀区-东盟商务区-联盟新城,4室2厅2卫,300.00,东南,https://nn.zu.ke.com/zufang/NN2848706573965205504.html
整租·烟草公司生活区 3室1厅 东南,1100,青秀区-东葛路-烟草公司生活区,3室1厅1卫,80.00,东南,https://nn.zu.ke.com/zufang/NN2844052019390717952.html
整租·融创九棠府二期 4室2厅 南,2000,良庆区-五象湖-融创九棠府二期,4室2厅2卫,129.00,南,https://nn.zu.ke.com/zufang/NN2848638016623755264.html
整租·中房琅东小区 3室2厅 南,2500,青秀区-金湖-中房琅东小区,3室2厅2卫,103.00,南,https://nn.zu.ke.com/zufang/NN1707710900963639296.html
整租·天誉半岛 5室2厅 东南,3000,良庆区-五象文旅-天誉半岛,5室2厅2卫,140.00,东南,https://nn.zu.ke.com/zufang/NN1709087681499103232.html
整租·印象·愉景湾 4室2厅 南,2000,良庆区-五象湖-印象 - 愉景湾,4室2厅2卫,110.00,南,https://nn.zu.ke.com/zufang/NN1700512056924438528.html
整租·蓝宝国际 1室1厅 南,1800,青秀区-琅东-蓝宝国际,1室1厅1卫,40.50,南,https://nn.zu.ke.com/zufang/NN1709523016490156032.html
整租·太阳广场 4室2厅 东南,3800,兴宁区-朝阳-太阳广场,4室2厅2卫,165.00,东南,https://nn.zu.ke.com/zufang/NN1739176151043014656.html
整租·龙光世纪中心 3室1厅 东南,11000,青秀区-东盟商务区-龙光世纪中心,3室1厅1卫,126.75,东南,https://nn.zu.ke.com/zufang/NN1718110118542835712.html
整租·霖峰壹号3组团 1室1厅 东南,14500,青秀区-凤岭北-霖峰壹号3组团,1室1厅1卫,188.00,东南,https://nn.zu.ke.com/zufang/NN1717053938286460928.html
整租·青秀万达 1室0厅 东,3360,青秀区-青秀万达-青秀万达,1室0厅0卫,56.00,东,https://nn.zu.ke.com/zufang/NN1739138408036433920.html
整租·澜湾九里二期 3室2厅 南,3500,良庆区-五象核心区-澜湾九里二期,3室2厅2卫,137.00,南,https://nn.zu.ke.com/zufang/NN1677525639415988224.html
整租·碧园南城故事 3室2厅 南,1500,江南区-经开区-碧园南城故事,3室2厅2卫,110.00,南,https://nn.zu.ke.com/zufang/NN1739610977290158080.html
整租·润和谷 3室2厅 南,1300,青秀区-仙葫-润和谷,3室2厅2卫,116.24,南,https://nn.zu.ke.com/zufang/NN1676511918866563072.html
整租·时代天骄 1室1厅 南,4500,西乡塘区-西大-时代天骄,1室1厅1卫,120.00,南,https://nn.zu.ke.com/zufang/NN1735604835517988864.html
整租·金碧苑小区 3室2厅 东南,3800,青秀区-金湖-金碧苑小区,3室2厅2卫,149.14,东南,https://nn.zu.ke.com/zufang/NN1685167887628632064.html
整租·园湖南路34号 4室2厅 南,2800,青秀区-东葛路-园湖南路34号,4室2厅2卫,142.00,南,https://nn.zu.ke.com/zufang/NN1736693374804557824.html
整租·悦桂绿地新世界 3室2厅 南,1700,江南区-经开区-悦桂绿地新世界,3室2厅2卫,105.00,南,https://nn.zu.ke.com/zufang/NN1994366342643318784.html
整租·中房翡翠园一期 4室2厅 南,2500,青秀区-琅东-中房翡翠园一期,4室2厅2卫,150.00,南,https://nn.zu.ke.com/zufang/NN1993913639580467200.html
整租·万科金域中央二期 3室2厅 南,2950,良庆区-玉洞-万科金域中央二期,3室2厅2卫,100.00,南,https://nn.zu.ke.com/zufang/NN1994645639949975552.html
整租·天誉城 1室1厅 南,1800,良庆区-五象文旅-天誉城,1室1厅1卫,30.00,南,https://nn.zu.ke.com/zufang/NN1997154056568569856.html
整租·金湖帝景 1室0厅 南,800,青秀区-金湖-金湖帝景,1室0厅0卫,25.00,南,https://nn.zu.ke.com/zufang/NN1993567969740849152.html
整租·农行家属院住宅区 4室2厅 南/北,4500,青秀区-金湖-农行家属院住宅区,4室2厅2卫,170.00,N/A,https://nn.zu.ke.com/zufang/NN1993546957116669952.html
整租·昊然风景 3室2厅 南,3300,青秀区-琅东-昊然风景,3室2厅2卫,121.00,南,https://nn.zu.ke.com/zufang/NN1993250520789155840.html
整租·金菲豪园 3室2厅 南/北,4000,青秀区-东盟商务区-金菲豪园,3室2厅2卫,142.65,N/A,https://nn.zu.ke.com/zufang/NN1993148618646749184.html
